cleaned_comment,translate
"nan","terjemahkan id ke en: nanangangangkan id ke en:"
"hti hti","hti hti hti hti hti hti hti hti hti"
"calon calon khianat miripp hti fpi liberal","terjemahkan id ke en: calon calon khianat terjemahkan id ke en:"
"tidak indonesia gelap gelap depan","gelap depan gelap depan gelap depan gelap depan gelap depan gelap depan terjemah"
"yaaa tp gx ngomong an rakyat"," ajaaa ajaa ajaa "
"kami orang kampung demo kesah ruu ampas aset koruptor demo abal abal atau bilang demo sewa kalian mahasewa mengangap kalo orang kampung tau karena mahasiswa","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"yeeee gc wakil rakyat brani demo","aja sih.............."
"betul presidentkamu ngawur quot brbagaimana quot ndasmu quot mikir perintah baru jalan ndengquot brsaya tidak rasa indonesia gelapbrraimu gelap","terjemahkan id ke en: betul presidentkan id ke en: betul president"
"huh eweh ker korupsi ya maneh","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"wakil",""
"kami indonesia baikquot dagang ekonomi lancar mahasewalah gelap","terjemahkan id ke en: kami indonesia baikquot kankankan"
"kalau emang maha sewa bukti demo dpr perintah kesah uu ampas aset hasil korupsi tindak makan mahasiswa sejati","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"wakil lo mahasewa","lo mahasewa lo mahasewa lo mahasewa lo mahasewa lo mahase"
"kalian ganggu orang cari nafkah otak demo demo ganggu penting rakyat mayoritas","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"yg ankquot mahsiswa sekrang pinterny lewat mkany ulah gk otak demo bikin rusuh negra aja heeeiiiiu mahasiswa gk malu kah lihat orng dunia senegramu sehrusny klian contok adikquot kalian mlh bikin kacau negra mna damai klau rakyatny rewel mahasiswa mahasiswa tolol smua sekolahny aja tpi ilmu ny tinggal","kan id ke en:kan id ke en:kan id ke en:kan"
"ya mahasiswa demo pelajarin protes kenyataanya brkemarin demo demo subtansinya kagak narasi seauai nyata kalian mahasiswa mahasewa","terjemahkan id ke en: ya mahasiswa demo pelajarin protes kenyataanyakan id ke"
"mata gelap","mata gelap mata gelap mata gelap mata gelap mata gelap: mata gelap mata gelap mata gelap"
"mulut pangkas hai mahasewa km indonesia klu indonesia gelap gelap muka mahasewa","terjemahkan id ke en: mulut pangkas terjemahkan id ke en:"
"pak prabowo yess dukung beliau penuh mahasewa wakil rakyat krn rakyat butuh nyaman lingkung mahasewa ganggu parah rusak fasilitas umum","prabowo terjemahkan id ke en: pak prabowo  terjemahkan"
"dah bukti mahasiswa mahasewa habis demo duit nasi bungkus gelap jabat koruptor efisensi anggar leluasa korupsi pakai jasa mahasewa demo masyarakat dah muak mahasewa bikin gaduh","kan id ke en:kan id ke en:kan id ke en:kan"
"mahasewa bawa2masharakat intilektual"," terjemahkan id ke en: mahasewa terjemahkan id ke en"
"bela rakyat"," terjemahkan id ke en: bela rakyat terjemahkan id ke en:"
"mbulet jawab mahasewa bisa demo politis politis jalan kaji analisamy goblok"," terjemahkan id ke en: mbuletkankan id ke en"
"kasihan mahasewa cuma jadi jongos gerombol kecut nenek lampir","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"yg gelap pakek ngatain prabowo anjing akhlak luemau demo kritik silah nyangkut kebun binatang donk","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"kalo mahasewa sebutannyakami masyarakat butuh wakil mahasewaatas nama rakyat tp susah rakyat","id ke en:kan id ke en:kan id ke en:kan id"
"nyata demo mahasiswa udah gk murnidahada tunggang pd demo indonesia gelap","terjemahkan id ke en: nyata demo mahasiswa terjemahkan id ke en:"
"kasihan mahasewa cuma jadi jongos gerombol nenek lampir brperusak bangsa bukan bela eong cilik tapi bela wong licik","id ke en:kan id ke en:kan id ke en:kan id"
"tapi bodoh"," tapi bodoh  tapi bodoh   tapi bodoh  "
"yg gelap mahasewa ag rakyat ayem2 nggak gelapkalau mahasiswa pintar coba presiden 100 buat rakyat indonesia mikir otak segar jgn bisa cuman dema demo nggak bikin gagas ide bagus bangsa dn rakyat","terjemahkan id ke en: yg gelapkan id ke en: yg gelapkan"
"kalian bikin rusuh kami masyarakat lawan","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"dasarmahasewa","sewa.com sewa.com sewasewa.com"
"kalian quotmahasewaquot quotmahasiswaquot rakyat wakilibrkalian quotbutaquot quotbisuquot quotkorupsiquot indonesia quotdarurat korupsiquot detik quottidak beraniquot gedung dpr kesah uu ampas aset untuk para koruptorbrkalian quotbangganyaquot berkoarkoar kesana kemari mengatasnamakan rakyat rakyat quotwahai mahasewaquot","kan id ke en:kan id ke en:kan id ke en:kan"
"gelap demo kalee","aja        "
"kalian mahasiswa kalian rem","terjemahkan id ke en: kalian mahasiswa kalian remotekan id ke en"
"mantap mahasewa","terjemahkan id ke en: mantap mahasewa terjemahkan id ke en:"
"betul opung luhutkau gelap","terjemahkan id ke en:"
"dari mimik wajah pintar ngelesalias pintarngeles","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"mahasiswa malu 50 rb harga mu le","terjemahkan id ke en: mahasiswa malukan id ke en: mahasiswa malukan"
"lpg langkah blok ppn 1 kalian demo kanaikan barang mewah blok mahassiswa goblok gmn nya negri","lpg langkah blok ppn 1 lpg langkah blok ppn 1"
"jlas mahasewa nefimma duit dr koruptor tu unk demo2 nurunkan jomowi udah bnyak bantu kpada mahasewa2 tu beasiswa bantu lsinnya tu","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"demo ndk mutu","aja.............."
"ini kontaminasi ajar ala anis","terjemahkan id ke en: ini kontaminasi ajar ala anis ini"
"otak mahasiswa gelapjangan bawa nama rakyat jijik mahasiswamakan gratis anak demo masyarakat miskin zholimihak tolak","jijik mahasiswa mahasiswa mahasiswa mahasiswa mahasiswa mahasiswa mahasiswa mahasiswa"
"mahasiswa skarang g dukung masarakat g kya cman rusuh","................."
"mahasewa demo penting rakyat demo penting partai","terjemahkan id ke en: mahasewa terjemahkan id ke en: maha"
"terus dungu kawan karna waras negara maju","terjemahkan id ke en: terus dungu kawan karna waras negara maju maju"
"sll nama rakyat rakyat mna rakyat 80 persen puas kau bacot aj","terjemahkan id ke en: sll nama rakyat rakyat terjemahkan id ke en"
"mahasiswa acau negara bela negarabrpengacau masarakat demo masarakat mahasiswa tolol","acau negara acau negara acau negara acau negara"
"demo guna blas","aja sih.... aja sih..."
"kmu kok lho kt siswa d pngkas kuping lho d dmna","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"demo sesuai pesan bayar","terjemahkan id ke en: demo sesuai pesan bayar bayar bayar bayar"
"itu 1998 mahasiswa demo murni kenpentingan rakyat demo mahasewa jaman sekang demo penting nyawer","terjemahkan id ke en: itu 1998kan terjemahkan id ke en: itu"
"sepakat ngomong doang","ngomong doang :D"
"oo bokan mahasews tp mahsiswa resah ug bela masyarakat wakil mahasiswa tambah spt macet dll","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"tiap bijak dkluarkan lebihx utk sbgai msyrakat mngawasi mngevaluasi bijak tsb tnpa hrus mresahkan masyarakat aksi demo krn dampak ekonomi dri kondisi ktidak stabil politik dampak pda sektor ekonomi investasi negara","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"sok pinter keblinger","sok pinter keblinger keblinger keblinger keblinger keblinger"
"mahasewa",".com terjemahkan id ke en: mahasewasewasewase"
"demo tuh undang undang ampas aset mahasewa diaem aja","aja sih aja sih terjemahkan id ke en: demo"
"mahasiswa kampus jalan rusuh mahasewa gerombol sesuai pesan paham","mahasiswa kampus jalan rusuh terjemahkan id ke en: mahasiswa kampus jalan rus"
"ya demo susah sy masarakat wakil mang gampang pimpin perintah gimana indonesia depan","terjemahkan id ke en: ya demo susah terjemahkan id ke en: ya"
"mahasiswa murni mahasewa rupiah jd klaim sesuai hati","... terjemahkan id ke en:kan id ke en:kan id"
"mahasewa mek pinter ngomong ora iso tandang","ane ane terjemahkan id ke en: mahasewa "
"masarakkat ya manamikir"," terjemahkan id ke en: terjemahkan id ke en: "
"wakil rakyat manakenapa pidato ucap ngatain presiden ngga adab hewan kok lo mahasewa","terjemahkan id ke en: wakil rakyat manakenapa wakil rakyat manakenapa wakil rakyat"
"tuh kan gublooookkkkkknya mahasiswa sudah jawab ibu srimulyani minta document lu bilang probowo anjbajingan","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"dolan le brmangkane gk sesuai","terjemahkan id ke en: dolan le brmangkane  terjemahkan"
"taek2 mahasewa preman kuli aja bisa disuru2","terjemahkan id ke en: taek2 terjemahkan id ke en:"
"memang mahasewa terima","terjemahkan id ke en: memang mahasewa terima terima terjemahkan id ke en"
"isu d perjuangkanbrfakta donkbrdari gue emang suka sma mahasiswa suka demo tuju kuliah","aja terjemahkan id ke en: isu d perjuangkankan "
"boooohhhoong","hoonghoong hoonghoong hoonghoong "
"yang gelap koruptor keren mahasiswa ajar kreatif bantu dukung perintah sah bantu ide solusi serang data cipta keos dijalanandan keren ruang diplomasi wakil mahasiswa kompepeten perintah","terjemahkan id ke en: yang gelap koruptorkan id ke en: yang gelap"
"hemmmmmmm mahasewatetap mahasewabukan rakyatklu mahasiswacoba undang undang ampas aset undang undang ampas aset undang undang ampas asetitu wakil seluruh rakyat indonesia","terjemahkan id ke en:  terjemahkan id ke en: terjemah"
"rakyat kau wakilimahasewakauu spti gerombol rusuh dg kedok mahasewabrbrbryg gelap otak kauuu jual bakso terangggg","kan id ke en: rakyat kau wakilkan id ke en: rakyat kau wakilkan"
"mahasiswa nol skill pinter omonquot"," quotquot quot quot terjemahkan"
"wooooiiii mahasiswa bajar kau pintar dikit2 kau demo kau s3ndiri ksh solusi sy rakyat muak mahasiswa demo bawa2 rakyat","kan id ke en:kan id ke en:kan id ke en:kan"
"mahasewaemang mahasewa luh mahasiswa bikin resah emang bikin resah rakyat butuh mahasewa","id ke en: mahasewaemang mahasewaemang mahasewa id"
"wahasewa generasi bobrok ngerti tugas perintah","terjemahkan id ke en: wahasewa terjemahkan id ke en:"
"ngimana gelap indonesia korupsi penyuludupan coba perjuangkn uu korupsi ampas aset klw brani mahasiswa","terjemahkan id ke en: ngimana gelap indonesia korupsi penyuludupan"
"hidup mahasiswa jawab kelas akal sehat","terjemahkan id ke en: hidup mahasiswa jawab kelas akal sehat terjemahkan id ke"
"halahbilang mahasewa malu malu kucing","terjemahkan id ke en: halahbilang mahasewabilang mahase"
"tolong prabowo aktif quotpetrusquot biar negara aman","      quotpetrusquot"
"maharent aja klo sewa","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"mahasewa fiks mahasewa percumah di jelas karna otak mahasewa sudah cuci otak nya oleh rg paham","terjemahkan id ke en: mahasewa terjemahkan id ke en: maha"
"otak mahasewa udah gelap hadap demo rakyat sehat","terjemahkan id ke en: terjemahkan id ke en: sehat sehat"
"uda percaya mahasiswayg mahasewadgn cium dana miliyaran masuk salah rekening","terjemahkan id ke en: uda percaya mahasiswa terjemahkan id ke en:"
"kalau kau gelap pasang bolham listrik 25 wat jidat lu terang","terjemahkan id ke en: kalau kau terang terjemahkan id ke en: kalau"
"yg gelap jalan uang elitquot politik korban korlap","terjemahkan id ke en: yg gelap jalan  jalan  jalan jalan"
"jika mahasewa u u ampas aset koruptor sah adequot makan gratis","terjemahkan id ke en: jika mahasewa u u ampas aset koruptor"
"itu fakta keluar dari mulut maha siswa waktu tangkap polisi bilang maha siswa bayar","terjemahkan id ke en: itu fakta keluar dari mulut maha siswakan terjemahkan"
"rak yat manaa","aja..."
"sak genah aja mas","aja mas........."
"enak kn panggil mahacewa pantes","terjemahkan id ke en:"
"masa gelapkami rakyat bsik"," asik terjemahkan id ke en: masa gelapkami rakyat bsik"
"mahasiswa demo bobot hnya bikin rakyat susah mahasewa juluk","terjemahkan id ke en: mahasiswa demokankankan id ke en:"
"ndasmu kui ngaku rakyat g prorakyat cba demo hukum mati tuk korupsi berani pa berani nunggu kalo bayar"," terjemahkan id ke en: terjemahkan id ke en: "
"mahasewa mahasewa demo bayar 49 ribu","terjemahkan id ke en: mahasewa terjemahkan id ke en: maha"
"demo ajbatalkan makan gratis","terjemahkan id ke en: demo ajbatalkan makan gratis makan gratis makan"
"syukur","terjemahkan id ke en: syukur syukur terjemahkan id ke en: syukur syukur "
"kalau anda2 mahasiswa demo santun aspirasi hujat pimpin negara sipilih rakyat","terjemahkan id ke en: terjemahkan id ke en:  "
"jls kl demo gk guna cm macet lintas aj km masarakat sj","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"maha sewaquotdari temenmu ngatain bp presiden hewan"," terjemahkan id ke en: maha sewaquotkankan id ke"
"sayang demo tunggang orang orang cari panggung sarana hujat hujat pribadi perintah tolong demo jaga murni demo tsb","terjemahkan id ke en: demo tunggang orang orang terjemahkan id ke en:"
"ragagas","ragagas  ragagas ragagas ragagas ragagas"
"heleh maha sewa","aja  terjemahkan id ke en:  terjemahkan id ke"
"hidup mahasewaaa","aaaaaaaaaaaaaaaaaa"
"tuntut mengatain orang anjing maksud kalo demo harus ber adab tuntut jelasbukan ateriak2 anjing bikin malu aja","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id"
"oi mahasewabelakar benarpunya data benarjangan demoberikan soludinyanggak takyat mersa terwskili olej musadar","kan id ke en: oi mahasewakan id ke en: oi maha"
"indonesia tu gelap bikin gelap demo demo kpn bantu pimpin","terjemahkan id ke en: indonesia tu gelapkan id ke en: indonesia tu gelap"
"kapan rakyat indonesia wakil","............... kan"
"mahasiswa wakil rakyat","... terjemahkan id ke en: mahasiswa wakil rakyat wakil rakyat wakil rakyat wakil rakyat"
"ohhhh bbc pantes","bbc nya aja : bbc nya aja"
"reaktif perintah demo isu potong anggar didik quottidakquot mesti demo henti","quot quot quot quot quot quot "
"demo u u d ujung2 nya duit","nya................."
"ujung ujung mahasewa dpr","terjemahkan id ke en: ujung ujung mahasewa dpr dprkan"
"mahasiswa gelap gulita","(asli) ke en: mahasiswa gelap gulitaa terjemah"
"ga bobot demo mahasiswa tuntut nya bobot bikin rusuh keruan","terjemahkan id ke en: ga bobot demo mahasiswa tuntut nya bobotkan"
"kalau mahasiswa pilih kata2 kepala negara dihinahina katai nama terima","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id"
"apakah rakyat hak dapat keritikan tolong mahasiswa naif demo hak lindung undangundang lindung serang fitnah katakata binatang langsung serang pribadi kepala negara kepala perintah sah hukum tegak hak asasi hak lindung","id ke en:kan id ke en:kan id ke en:kan id"
"apakah rakyat hak dapat keritikan tolong mahasiswa naif demo hak lindung undangundang lindung serang fitnah katakata binatang langsung serang pribadi kepala negara kepala perintah sah hukum tegak hak asasi hak lindung","id ke en:kan id ke en:kan id ke en:kan id"
"kami rakyat dukung orasi","a. a. a. a. a. a. "
"sekaolah tinggih sdm rendah","rendah rendah rendah rendah rendah rendah rendah rendah rendah rendah rendah rendah rendah rendah rendah rendah rendah rendah rendah"
"yg nilai itu rakyat mana yg mahasewa dan mana yg mahasiswajgn nilai diri sendiri","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"benar nya salah nya prabowo gibran sidi era jokowiada bansosada pkhada kisada kipdan bantu nyabrdi era pragibpenghapusan kridit macetbagi umkmbuka lahan sawah 1 juta hektarbikin program rumah rakyatdan nya","kan id ke en:kan id ke en:kan id ke en:kan"
"yg gelap mata dn hati",""
"omong ngawur caplok ajahsya orang desa ajah dukung progam perintah","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"mungkin tidk terima uang sewatapi inisiator ketak demo bayaryg cuman ikut2katan mahasiswa wjibkn senior merekaini fakta","terjemahkan id ke en: kan id ke en:kan id ke en"
"ngatur negara ngatur kuliah tinggal uang ortu gitukah gampang demo nyuruh biaya operasionalnyarakyat sdh paham","terjemahkan id ke en:kan id ke en:kan id ke en:"
"warga 58 mulai sadar sesal demon bayar ribu mahasiswa gx pendukuung 02 tau dukung 01 03 gx bilang pasu sakit hati anak abah bener anak abah angka 58 angka ghoib doang","terjemahkan id ke en:kan id ke en:kan id ke en:"
"mahasewa",".com terjemahkan id ke en: mahasewasewasewase"
"yakin banget uang bapaklu halal","terjemahkan id ke en:kan id ke en:kan id ke en:"
"mahasiswa tidak wakil rakyat rakyat adem ayem kami dukung presiden amp perintah korupsi bersih mahasiswa bakar jenggot aneh","terjemahkan id ke en: mahasiswa tidak wakil rakyat rakyat terjemahkan id ke en"
"bkn wakil rakyat lo brlo emang mahasewabrdemo ko ngatain presiden sy rakyat wakil mahasewa","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"moga aja pangkas penting rakyatsemoga dikorupsikorupsi bajing rakyatcoba mahasiswa indonesia demo koruptor hukum mati gituuuuu","uuuuuuuuuuuuuuuuuuu"
"yng gelap hati aja rskyat gelapgelap hati gelap pola fikir gelap","gelap hati aja gelap hati aja gelap hati aja hati"
"saya harap perintah dengar kata20dari mahalsewa dengar kata20rakyat","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"itu bentuk kecewa presiden dg ndasmu suara anjing itu polemik mahasewa kontribusi negara udah demo manfaat gelap gelap ndasmu indonesia terang benderang gampang hasut polikus busuk negeri prestasi bikin onar wakil rakyat wakil syahwat pribadi gerung adi kalian aja bodoh mau mau provokasi","id ke en:kan id ke en:kan id ke en:kan id"
"kalau mahasewa tunjuk tuntut uu ampas aset koruptordn hukum mati korupyoritu mahaseswa","terjemahkan id ke en:  terjemahkan id ke en: terjemah"
"mahasewa",".com terjemahkan id ke en: mahasewasewasewase"
"udah ajar rajinrakyat lg dukung program perintah prabowo","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id"
"jangan bawa2nama masarakat","(a)  (a)   terjemahkan id"
"hidup mahasiswa indonesia brhidup rakyat indonesia adil jokowi","indonesia indonesia indonesia indonesia indonesia indonesia indonesia indonesia indonesia indonesia indonesia indonesia indonesia indonesia indonesia indonesia indonesia"
